"","GroupID","Golgi_State","IntravasationProb","PER","Average_Speed","Visited_Rzone","Hours_in_Rzone","Metastatic_Celle"
"V314","2","F","0.4257","0.737","25.15",NA,NA,NA
"V315","1","F","0.2013","0.607","22.66",NA,NA,NA
"V316","1","F","0.3861","0.607","21.29",NA,NA,NA
"V317","4","F","0.2277","0.78","24.54","1","20",NA
"V318","2","F","0.2508","0.737","26.04","1","21",NA
"V319","4","I","0.01","0.756","27.69","1","1",NA
"V320","1","I","0.01","0.604","22.7","1","19",NA
"V321","2","F","0.4323","0.737","25.65","1","23",NA
"V322","4","I","0.01","0.756","23.98","1","39",NA
"V323","2","F","0.1749","0.737","21.81",NA,NA,NA
"V324","3","I","0.01","0.601","27","1","1",NA
"V325","1","I","0.01","0.604","25.96",NA,NA,NA
"V326","4","F","0.4752","0.78","26.1",NA,NA,NA
"V327","1","F","0.1683","0.607","23.97","1","27",NA
"V328","4","F","0.1947","0.78","22.55","1","14",NA
"V329","2","F","0.3531","0.737","17.04","1","56",NA
"V330","4","I","0.01","0.756","26.21",NA,NA,NA
"V331","4","F","0.3465","0.78","24.6",NA,NA,NA
"V332","1","I","0.01","0.604","24.72",NA,NA,NA
"V333","4","F","0.3531","0.78","29.27","1","3",NA
"V334","2","F","0.3234","0.737","24.37","1","41",NA
"V335","1","F","0.1848","0.607","23.81","1","18",NA
"V336","3","I","0.01","0.601","24.43","1","54",NA
"V337","1","F","0.2079","0.607","23.07","1","5",NA
"V338","4","F","0.2013","0.78","22.82","1","13",NA
"V339","2","F","0.2574","0.737","25.3",NA,NA,NA
"V340","1","I","0.01","0.604","24.35",NA,NA,NA
"V341","2","F","0.4917","0.737","23.91","1","34","1"
"V342","1","F","0.3201","0.607","20.62","1","79",NA
"V343","4","F","0.2079","0.78","23.85","1","53",NA
"V344","2","F","0.4389","0.737","25.56","1","72","1"
"V345","4","F","0.3696","0.78","24.54","1","8",NA
"V346","2","F","0.3861","0.737","24.51","1","11",NA
"V347","2","I","0.01","0.725","23.5","1","36",NA
"V348","2","F","0.4389","0.737","20.85","1","26",NA
"V349","4","I","0.01","0.756","26.24","1","24",NA
"V350","1","I","0.01","0.604","14.51",NA,NA,NA
"V351","2","F","0.4224","0.737","24.21","1","43",NA
"V352","2","F","0.3267","0.737","23.51","1","7",NA
"V353","1","F","0.3894","0.607","27.93",NA,NA,NA
"V354","1","F","0.3399","0.607","20.36","1","38",NA
"V355","1","F","0.4554","0.607","20.95","1","15","1"
"V356","2","F","0.3102","0.737","24.31","1","24",NA
"V357","4","I","0.01","0.756","27.42","1","7",NA
"V358","1","I","0.01","0.604","26.23",NA,NA,NA
"V359","1","I","0.01","0.604","24.4",NA,NA,NA
"V360","1","F","0.3597","0.607","18.58","1","21",NA
"V361","4","I","0.01","0.756","25.6","1","14",NA
"V362","2","F","0.2013","0.737","24.59","1","21","1"
"V363","1","F","0.2805","0.607","24.77","1","27",NA
"V364","4","I","0.01","0.756","25.91",NA,NA,NA
"V365","1","I","0.01","0.604","26.73",NA,NA,NA
"V366","1","F","0.2673","0.607","22.48","1","36",NA
"V367","2","F","0.4455","0.737","25.92",NA,NA,NA
"V368","4","F","0.3564","0.78","24.77",NA,NA,NA
"V369","1","F","0.2706","0.607","21.33",NA,NA,NA
"V370","1","I","0.01","0.604","28.81",NA,NA,NA
"V371","4","I","0.01","0.756","27.46",NA,NA,NA
"V372","2","F","0.4686","0.737","29.08","1","1",NA
"V373","1","F","0.3762","0.607","20.79",NA,NA,NA
"V374","2","F","0.1782","0.737","25.5",NA,NA,NA
"V375","1","F","0.3597","0.607","21.17",NA,NA,NA
"V376","4","I","0.01","0.756","25.96","1","77",NA
"V377","2","F","0.3531","0.737","20.72","1","27","1"
"V378","1","F","0.297","0.607","21.71","1","53",NA
"V379","1","F","0.4884","0.607","25.1","1","9",NA
"V380","1","F","0.4488","0.607","20.6","1","75",NA
"V381","4","I","0.01","0.756","24.71","1","8",NA
"V382","3","I","0.01","0.601","26.63","1","1",NA
"V383","1","F","0.2145","0.607","22.1",NA,NA,NA
"V384","1","F","0.1947","0.607","21.6",NA,NA,NA
"V385","2","I","0.01","0.725","30.41","1","20",NA
"V386","4","I","0.01","0.756","27.43",NA,NA,NA
"V387","2","I","0.01","0.725","22.93","1","1",NA
"V388","4","I","0.01","0.756","25.15",NA,NA,NA
"V389","1","I","0.01","0.604","24.71",NA,NA,NA
"V390","4","F","0.1815","0.78","25.81","1","17",NA
"V391","4","I","0.01","0.756","27.9",NA,NA,NA
"V392","1","I","0.01","0.604","23.01","1","55",NA
"V393","4","I","0.01","0.756","25.69","1","57",NA
"V394","2","F","0.3729","0.737","26.38","1","7",NA
"V395","1","F","0.4158","0.607","25.16","1","1",NA
"V396","2","F","0.2442","0.737","24.63","1","3","1"
"V397","2","I","0.01","0.725","25.71",NA,NA,NA
"V398","4","I","0.01","0.756","26.09","1","14",NA
"V399","1","F","0.297","0.607","24.03",NA,NA,NA
"V400","2","I","0.01","0.725","28.61",NA,NA,NA
"V401","1","F","0.4818","0.607","22.11","1","17",NA
"V402","2","F","0.2244","0.737","16.89","1","7","1"
"V403","3","I","0.01","0.601","25.14","1","12",NA
"V404","1","F","0.2937","0.607","25.12",NA,NA,NA
"V405","3","I","0.01","0.601","26.32",NA,NA,NA
"V406","2","F","0.2343","0.737","27.21","1","1",NA
"V407","2","I","0.01","0.725","28.99",NA,NA,NA
"V408","1","F","0.4257","0.607","21.98",NA,NA,NA
"V409","4","I","0.01","0.756","23.34",NA,NA,NA
"V410","2","F","0.2508","0.737","24.25","1","18",NA
"V411","1","F","0.3894","0.607","21.69","1","81",NA
"V412","2","F","0.4224","0.737","24.16","1","25",NA
"V413","1","I","0.01","0.604","25.58","1","2",NA
"V414","2","F","0.3069","0.737","23.83","1","1",NA
"V415","1","F","0.231","0.607","21.27",NA,NA,NA
"V416","4","I","0.01","0.756","26.34",NA,NA,NA
"V417","4","F","0.1716","0.78","24.39","1","1",NA
"V418","2","F","0.1782","0.737","25.03","1","32",NA
"V419","1","F","0.1914","0.607","21.42","1","37",NA
"V420","1","I","0.01","0.604","19.61","1","87",NA
"V421","1","F","0.4719","0.607","22.62","1","33",NA
"V422","2","I","0.01","0.725","27.44","1","4",NA
"V423","4","I","0.01","0.756","23.42","1","45",NA
"V424","1","F","0.3729","0.607","19.15",NA,NA,NA
"V425","2","F","0.3894","0.737","23.6",NA,NA,NA
"V426","2","F","0.4818","0.737","17.65","1","5","1"
"V427","3","I","0.01","0.601","26.97","1","69",NA
